gravity,wind_power,turbulence_power,reward
-11.999,5.0,0.6,291.52418302826595
-11.999,5.0,0.8,262.4095423085628
-11.999,5.0,1.0,277.5759635427929
-11.999,7.5,0.6,24.081558424622955
-11.999,7.5,0.8,266.9867536200869
-11.999,7.5,1.0,264.38969180275365
-11.999,10.0,0.6,37.57745680138305
-11.999,10.0,0.8,268.4550410011409
-11.999,10.0,1.0,268.47264745063114
-9.499500000000001,5.0,0.6,286.13398378940127
-9.499500000000001,5.0,0.8,260.3684371640114
-9.499500000000001,5.0,1.0,264.23616286351785
-9.499500000000001,7.5,0.6,183.2056496007766
-9.499500000000001,7.5,0.8,224.98147329825184
-9.499500000000001,7.5,1.0,274.1838466602378
-9.499500000000001,10.0,0.6,-0.8405149754727859
-9.499500000000001,10.0,0.8,64.45589219213849
-9.499500000000001,10.0,1.0,267.6449174107909
-7.0,5.0,0.6,283.31492131740436
-7.0,5.0,0.8,279.5260883257234
-7.0,5.0,1.0,266.24019741621555
-7.0,7.5,0.6,271.4310244323735
-7.0,7.5,0.8,264.1877399888381
-7.0,7.5,1.0,276.77138530913015
-7.0,10.0,0.6,273.4312412833694
-7.0,10.0,0.8,245.24643022460097
-7.0,10.0,1.0,277.04859032510217
