gravity,wind_power,turbulence_power,reward
-11.999,5.0,0.6,-4.378185452414726
-11.999,5.0,0.8,-32.35457532636694
-11.999,5.0,1.0,-37.23863034799199
-11.999,7.5,0.6,-59.25526186010501
-11.999,7.5,0.8,8.078264225310136
-11.999,7.5,1.0,-17.694094058635244
-11.999,10.0,0.6,5.286489427031142
-11.999,10.0,0.8,2.255319372755636
-11.999,10.0,1.0,-68.02797670860159
-9.499500000000001,5.0,0.6,10.361941247191538
-9.499500000000001,5.0,0.8,12.154337255898596
-9.499500000000001,5.0,1.0,2.1949480807942194
-9.499500000000001,7.5,0.6,-2.6723786302375174
-9.499500000000001,7.5,0.8,-1.6779072164386264
-9.499500000000001,7.5,1.0,-15.893124925903948
-9.499500000000001,10.0,0.6,-13.220253199518666
-9.499500000000001,10.0,0.8,-26.797994916267143
-9.499500000000001,10.0,1.0,-54.65681331401825
-7.0,5.0,0.6,-10.44943283432778
-7.0,5.0,0.8,300.49748604753944
-7.0,5.0,1.0,-0.34093629257795044
-7.0,7.5,0.6,-12.193916127689562
-7.0,7.5,0.8,-11.185905060897838
-7.0,7.5,1.0,-28.58187607085324
-7.0,10.0,0.6,287.9759698386483
-7.0,10.0,0.8,5.296875558390596
-7.0,10.0,1.0,315.10491695493795
