gravity,wind_power,turbulence_power,reward
-11.999,0.0,0.0,-50.50733376321047
-8.999275,0.0,0.0,266.77601497475354
-5.99955,0.0,0.0,299.34459264571285
-2.9998249999999995,0.0,0.0,236.13684291875813
-0.0001,0.0,0.0,-386.0489342204303
-11.999,0.0,0.0,-68.63559087139706
-11.999,0.0,0.25,11.408971552230199
-11.999,0.0,0.5,34.38356735413535
-11.999,0.0,0.75,236.81045352420705
-11.999,0.0,1.0,265.4030226750361
-11.999,2.5,0.0,-4.582433710123752
-11.999,2.5,0.25,301.9526570508855
-11.999,2.5,0.5,296.77472090053203
-11.999,2.5,0.75,285.57415401635114
-11.999,2.5,1.0,201.36983308410623
-11.999,5.0,0.0,300.71759359374545
-11.999,5.0,0.25,280.24750077129033
-11.999,5.0,0.5,286.5831840790812
-11.999,5.0,0.75,292.6721899392074
-11.999,5.0,1.0,295.2036417575533
-11.999,7.5,0.0,295.4639693452582
-11.999,7.5,0.25,291.15900174182764
-11.999,7.5,0.5,275.8962107021348
-11.999,7.5,0.75,291.2717315484449
-11.999,7.5,1.0,292.3085221294776
-11.999,10.0,0.0,301.8031899259556
-11.999,10.0,0.25,306.8633848555021
-11.999,10.0,0.5,307.39806249929717
-11.999,10.0,0.75,305.5804500678429
-11.999,10.0,1.0,303.4236931223416
-8.999275,0.0,0.0,213.34957771113676
-8.999275,0.0,0.25,271.02837033102713
-8.999275,0.0,0.5,273.02982253940183
-8.999275,0.0,0.75,287.3665455823501
-8.999275,0.0,1.0,282.4755452992816
-8.999275,2.5,0.0,281.1945853402501
-8.999275,2.5,0.25,296.140207337026
-8.999275,2.5,0.5,298.5299994847714
-8.999275,2.5,0.75,290.42291532081674
-8.999275,2.5,1.0,298.1313424076335
-8.999275,5.0,0.0,304.0067956283338
-8.999275,5.0,0.25,300.6181004866844
-8.999275,5.0,0.5,300.03458863161904
-8.999275,5.0,0.75,297.23547016376466
-8.999275,5.0,1.0,305.9796863660202
-8.999275,7.5,0.0,305.2184198046351
-8.999275,7.5,0.25,295.73561666505304
-8.999275,7.5,0.5,288.5634804039971
-8.999275,7.5,0.75,273.8801959901149
-8.999275,7.5,1.0,296.7611642228969
-8.999275,10.0,0.0,292.1315545047925
-8.999275,10.0,0.25,305.8246733570219
-8.999275,10.0,0.5,294.7286466021619
